Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
TX,PB21,-103.06216,31.341918,Unavailable,TXHUB,,"Coyanosa, TX",753,2019-09-11,
TX,PB22,-103.007,31.21173,Texas Seismological Network,TXHUB,,coyonosa,808,2021-07-27,
TX,PB28,-104.50077,31.66864,Unavailable,TXHUB,,Culberson County,1204,2020-03-05,
TX,PB29,-104.514453,31.75299,Unavailable,TXHUB,,Culberson County,1242,2020-03-05,
TX,PB30,-103.3227,31.2804,Texas Seismological Network,TXHUB,,"Pecos, TX",829,2021-12-09,
TX,PB31,-104.030536,31.73226,Unavailable,TXHUB,,"Orla, TX",907,2022-05-19,
TX,PB32,-103.37278,31.10306,Texas Seismological Network,TXHUB,,"Pecos, TX",861,2020-06-03,
TX,PB33,-104.054045,31.534929,Texas Seismological Network,TXHUB,,"Pecos, TX",1006,2020-06-03,
TX,PCOS,-103.510147,31.408922,Guralp Systems,TXHUB,,Crockett Middle School Pecos,788.2,2019-03-31,
TX,PECS,-103.86697,31.37045,Unavailable,TXHUB,,"Toyah, TX",914,2017-01-31,
TX,PH02,-101.946743,35.39086,Unavailable,TXHUB,,"Potter County, TX",1094,2018-10-24,
TX,PH03,-101.551399,35.3574,Unavailable,TXHUB,,"Panhandle, TX",1055,2018-10-25,
TX,PLPT,-98.31578,32.81276,Unavailable,TXHUB,,"Palo Pinto, TX",336,2017-08-08,
TX,POST,-101.50105,33.0662,Unavailable,TXHUB,,"Post, TX",788.6,2016-12-20,
TX,RTBA,-102.73743,36.43795,Unavailable,TXHUB,,"Rita Blanca, TX",1284,2017-08-10,
TX,SAND,-102.12331,29.95471,Unavailable,TXHUB,,"Sanderson, TX",688.8,2017-02-06,
TX,SGCY,-101.12639,31.91436,Unavailable,TXHUB,,"Sterling City, TX",776,2017-02-07,
TX,SMWD,-100.24248,35.10455,Unavailable,TXHUB,,"Samnorwood, TX",704,2017-08-09,
TX,SN02,-100.91106,32.86452,Unavailable,TXHUB,,"Snyder, TX",748,2017-03-08,
TX,SN03,-100.94118,32.92429,Unavailable,TXHUB,,"Snyder, TX",744,2017-03-08,
TX,SN04,-100.86952,32.89878,Unavailable,TXHUB,,"Snyder, TX",716,2017-03-08,
TX,SN07,-100.89172,33.09092,Unavailable,TXHUB,,"Snyder, TX",620,2016-09-27,
TX,SN08,-101.060724,32.782579,Unavailable,TXHUB,,"Arah, TX",758,2018-11-29,
TX,SN09,-100.739412,32.672969,Unavailable,TXHUB,,"Hermleigh, TX",663,2019-09-30,
TX,SN10,-100.72388,33.04918,Unavailable,TXHUB,,"Rotan, TX",658,2019-03-20,
TX,SNAG,-94.17877,31.51818,Unavailable,TXHUB,,"San Augustine, TX",84,2017-08-07,
TX,TREL,-96.08933,32.73039,Unavailable,TXHUB,,"Terrell, TX",174,2017-08-07,
TX,VHRN,-104.98515,30.7866,Unavailable,TXHUB,,"Van Horn, TX",1342,2017-01-31,
TX,WTFS,-98.46455,33.76622,Unavailable,TXHUB,,"Witchita Falls, TX",277,2016-12-14,
MG,JRQG,-100.446976,20.703686,Seismic Network of the NorthEastern Mexico,TXHUB,,Juriquilla,1965,2003-08-28,
G,UNM,-99.178062,19.329662,GEOSCOPE,TXHUB,,Unam - Mexico,2280,1990-06-05,
AE,319A,-109.280899,31.3757,Arizona Broadband Seismic Network,TXHUB,,Douglas,1187,2011-11-30,
AM,R0F1A,-95.576,29.5978,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,27,2016-10-31,
AM,R349C,-101.9118,33.5954,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station (4D),985,2016-12-31,
